"","Country","Total_cases","Total_deaths","Pop_millions","Continent","fully_vax_count","Percent_Over_65","km2","GDP_per_capita","Obesity_rate","cvd_death_rate"
"125","Cameroon",120068,1931,26.55,"Africa",2729600,3.11,57,1662,11.4,274.42
"126","Yemen",11832,2149,29.83,"Asia",757669,2.8,62,691,17.1,513.09
"127","Mozambique",228769,2214,31.26,"Africa",17744639,2.93,40,500,7.2,350.77
"128","Congo",24421,386,5.52,"Africa",654119,3.2,17,2214,9.6,355.63
"129","Ethiopia",490557,7552,114.96,"Africa",36707357,3.38,109,944,4.5,225.39
"130","Liberia",7502,294,5.06,"Africa",3671160,2.83,47,673,9.9,256.99
"131","Angola",101320,1900,32.87,"Africa",8193976,2.3,28,2138,8.2,304.73
"132","Madagascar",66098,1403,27.69,"Africa",1916926,3.47,49,515,5.3,401.67
"133","Uzbekistan",241814,1637,34.23,"Asia",17529078,5.87,76,1983,16.6,945.97
"134","Ghana",167215,1456,31.07,"Africa",8977750,4.44,138,2445,10.9,310.61
"135","Nicaragua",14721,243,6.62,"North America",5902294,5.82,53,2091,23.7,236.74
"136","Mali",31192,737,20.25,"Africa",2481414,3.02,18,918,8.6,276.18
"137","Guinea",37358,445,13.13,"Africa",3293736,3.91,55,1174,7.7,295.64
"138","Togo",37636,275,8.28,"Africa",1456018,3.57,152,992,8.4,292.45
"139","Cote d'Ivoire",84165,806,26.38,"Africa",10429385,2.85,85,2579,10.3,269.72
"140","Eritrea",9827,103,3.55,"Africa",NA,4,31,643,5,327.67
"141","Central African Republic",14712,113,4.83,"Africa",1934575,3.35,9,512,7.5,417.12
"142","Burkina Faso",21044,387,20.9,"Africa",3335753,3.16,81,918,5.6,289.19
"143","Sierra Leone",7718,125,7.98,"Africa",3026176,3.7,116,516,8.7,291.29
"144","Democratic Republic of Congo",91737,1376,89.56,"Africa",3720706,2.47,41,584,6.7,319.87
"145","Nigeria",258874,3144,206.14,"Africa",51397212,3.3,231,2085,8.9,235.65
"146","Tanzania",36174,841,59.73,"Africa",27459447,3.08,67,1136,8.4,267.15
"147","Benin",27216,163,12.12,"Africa",2692837,2.39,113,1428,9.6,278.85
"148","Tajikistan",17786,125,9.54,"Asia",5120562,3.63,68,897,14.2,689.88
"149","Niger",9096,311,24.21,"Africa",5176311,2.68,20,595,5.5,276.34
"150","South Sudan",17733,138,11.19,"Africa",2120962,2.53,17,1120,6.6,231.55
"151","Chad",7427,193,16.43,"Africa",3621866,2.43,13,696,6.1,288.14
"152","China",2170811,14649,1410.93,"Asia",1274018000,12.34,149,12556,6.2,276.94
"153","Burundi",43060,38,11.89,"Africa",26996,3.06,451,237,5.4,296.9
"154","New Zealand",5814,1,5.08,"Oceania",4137155,15.54,19,48802,30.8,137.93
